filename,instrument,set
"data/train/violin_solo_train_MOZART VIOLIN CONCERTO No. 3, A VERY FINE, ANTIQUE AMERICAN VIOLIN, SOLO SOUND SAMPLE.wav",violin,train
data/train/violin_solo_train_Violino Solo - Eine Kleine Nachtmusik.wav,violin,train
data/train/violin_solo_train_mozart symphony no 40 violin.wav,violin,train
"data/train/violin_solo_train_Kreisler cadenza for Beethoven violin concerto, 3rd mvt 1716 Stradivari ex-Milstein .wav",violin,train
"data/train/violin_solo_train_Mozart 39, II. beg.-38.wav",violin,train
data/train/violin_solo_train_MOZART - Queen of the Night - Magic Flute - violin solo.wav,violin,train
data/train/violin_solo_train_fur elise violin.wav,violin,train
data/train/violin_solo_train_Mozart The Magic Flute - Pamina_s Aria for solo violin.wav,violin,train
data/train/violin_solo_train_Haydn Surprise Symphony - Andante for solo violin.wav,violin,train
data/train/violin_solo_train_Mozart The Magic Flute - Queen of the Night Aria for solo violin (recital ver.).wav,violin,train
data/train/violin_solo_train_Mozart - Eine Kleine Nachtmusik Mvt 1 - William Yun Violin.wav,violin,train
data/train/violin_solo_train_Beethoven Romance No. 1 in G Major for solo violin.wav,violin,train
"data/train/violin_solo_train_Mozart Violin Concerto No. 5, Exposition.wav",violin,train
data/train/violin_solo_train_Mozart Violin Concerto No. 5 Cadenza.wav,violin,train
data/test/violin_solo_test_SERENADE - by Franz Schubert - Classical Violin Lessons Online by Paul Huppert.wav,violin,test
"data/test/violin_solo_test_Mozart, Alla Turca Violin.wav",violin,test
data/test/violin_solo_test_Mozart Turkish March for solo violin.wav,violin,test
data/test/violin_solo_test_Mozart The Magic Flute - Duet Pa Pa Pa for solo violin.wav,violin,test
"data/test/violin_solo_test_Ave María, F. Schubert (Violín solo).wav",violin,test
data/test/violin_solo_test_W.A.Mozart-Eine kleine Nachtmusik [Violin Solo].wav,violin,test
data/train/viola_solo_train_Campagnoli Caprice #28 for Solo Viola.wav,viola,train
data/train/viola_solo_train_Campagnoli Caprice #38 for Solo Viola.wav,viola,train
data/train/viola_solo_train_Campagnoli Caprice #35 for Solo Viola.wav,viola,train
data/train/viola_solo_train_Campagnoli Caprice #6 for Solo Viola.wav,viola,train
data/train/viola_solo_train_Campagnoli Caprice #15 for Solo Viola.wav,viola,train
data/train/viola_solo_train_Campagnoli Caprice #5 for Solo Viola.wav,viola,train
data/train/viola_solo_train_Mozart Symphony No35 Viola excerpt.wav,viola,train
"data/train/viola_solo_train_Eine Kleine Nachtmusik, Viola.wav",viola,train
data/train/viola_solo_train_Campagnoli Caprice #1 for Solo Viola.wav,viola,train
data/train/viola_solo_train_Campagnoli Caprice #41 for Solo Viola.wav,viola,train
data/train/viola_solo_train_Campagnoli Caprice #31 for Solo Viola.wav,viola,train
data/train/viola_solo_train_Campagnoli Caprice #9 for Solo Viola.wav,viola,train
data/train/viola_solo_train_Campagnoli Caprice #17 for solo viola.wav,viola,train
data/train/viola_solo_train_Campagnoli Caprice #24 for Solo Viola.wav,viola,train
data/test/viola_solo_test_Suzuki Viola Book 2 Beethoven Minuet in G.wav,viola,test
data/test/viola_solo_test_Mozart - Adagio and Rondo - #5 from Suzuki Viola Book 6.wav,viola,test
data/test/viola_solo_test_Viola Haydn Divertimento 3rd Movement.wav,viola,test
data/test/viola_solo_test_Campagnoli Caprice # 2 for Solo Viola.wav,viola,test
data/test/viola_solo_test_Campagnoli Caprice #4 for Solo Viola.wav,viola,test
data/test/viola_solo_test_Minuet in D Mozart Suzuki Viola Book 3.wav,viola,test
"data/train/violin_solo_train_Hilary Hahn - J.S. Bach Partita for Violin Solo No. 1 in B Minor, BWV 1002 - 4. Doubl....wav",violin,train
data/train/violin_solo_train_Partita No 1 in B Minor BWV 1002 VI Double.wav,violin,train
data/train/violin_solo_train_Fantasia in B-flat major.wav,violin,train
data/train/violin_solo_train_Partita No 3 in E Major BWV 1006 I Preludio.wav,violin,train
data/train/violin_solo_train_Sonata No 3 in C Major BWV 1005 III Largo.wav,violin,train
data/train/violin_solo_train_Fantasia in E-flat major.wav,violin,train
data/train/violin_solo_train_Fantasia in F major.wav,violin,train
data/train/violin_solo_train_Partita No. 1 in B Minor BWV 1002 II Double.wav,violin,train
data/train/violin_solo_train_Fantasia in D major II.wav,violin,train
"data/train/violin_solo_train_GEMINIANI Jonian Ilias Kadesha Instrumentalstück in c major, for solo violin.wav",violin,train
data/train/violin_solo_train_Partita No 2 in D MinorBWV 1004 I Allemanda.wav,violin,train
data/train/violin_solo_train_Sonata No 2 in A Minor BWV 1003 II Fuga.wav,violin,train
data/train/violin_solo_train_Fantasia in A major.wav,violin,train
data/train/violin_solo_train_Sonata No 2 in A Minor BWV 1003 III Andante.wav,violin,train
data/train/violin_solo_train_Sonata No 3 in C Major BWV 1005 II Fuga.wav,violin,train
data/train/violin_solo_train_Partita No. 1 in B Minor BWV 1002 III Corrente.wav,violin,train
